text,label
"deceptive advertising

Today I bought this Square-Trade 4-year ""protection"" plan for a small appliance purchase. The plan expires 4 years from today. The manufacturer provides a one year warranty on the item; thus Square-Trade is really only selling a 3 year extension of the manufacturers warranty. You should call it what it is.",0
"This accessory is not supported by this iPhone

Doesn't work, music will play for around 30 seconds, and then a message appears ""This accessory is not supported by this iPhone"" Spend a bit more money to get the official apple one.",0
"Was not a good fit for me

Couldn’t even get them to fit in my ears comfortably. Very sad, I need to return",0
"With such great reviews, I was hopeful

With such great reviews, I was hopeful, but this is not a good quality DVD player. The screen looks terribly washed out, even after trying to darken and adjust contrast; the volume doesn’t go very loud, so it’s hard to hear in the kitchen (where so usually use my portable player when I’m baking); and it doesn’t save you place on the disc when it powers off, so you have to fast forward to get to your spot. Overall, this is very meh. Returning it to find something better.",0
"Even too loud with ear plugs!

Extremely loud, to the point of having to leave the room and the motor has to run excessively long to fill the tank. Have to wonder how it is even legal. The coiled air hose it too tightly formed to be of any use. Might as well just be a short piece of hose. Had I not left it sitting in the box for months before trying it I would have sent it back.",0
"Filter Failure

Product failure causing low rail pressure, this should not be happening with a fuel filter.",0
"One size does not fit all

The headset is not adjustable, so if you have a larger head or ears, be prepared for squeezing and pinching. I can't speak to any other feature as they were so uncomfortable to wear I never even turned them on.",0
"Not for me yall!

I have this a two star because first of all the quality feels very very cheap and the sound is not that good and I lost it the first day I brought it to school and I don’t regret losing it coz I hate it !!",0
"heart rate off, no step counting

So just got this in the mail, opened it up, charged it for 2 hours. bind it to the phone through the app. Then nothing, it wont track steps, heart rate works for one reading, but one minute it says 93 bpm, the next 48 bpm. I would send it back but would be a waste of time and money to send it back.",0
"Two Stars

Gets moldy and discolored within 6 months.",0
"Nothing Special, Just a Basic Pencil

These are just your basic pencils, no different then the ones you can find at any lottery stand which are available to fill in your ticket. I was looking for a quality pencil with a softer black lead that would write dark and clear. That’s not these.",0
"Ruins when you use with your watch in the water

It's NOT waterproof and will start to ruin the moment you use your watch in the water. If you plan on swimming or bathing with your watch one, I do not recommend this protector. Find one of those glass tempered ones",0
"I actually love this bench but one of the screw holes was ...

I actually love this bench but one of the screw holes was stripped out and doesn’t hold the screw. I used wood glue and so far it’s holding. I hope this bench holds up for a while because I really do love it!",0
"Hella disappointed

Where do I start. To say the book was short is an understatement, you can snap your fingers and the book will be over. Not only is the book short there no ending. She just ends the story in Tony and Virginia and goes back to Benjamin Lee. The very few chapters in the book is and that its. In the summary it talks about Tony story, but yet she manged to put a whole section of Benjamin Lee oppose to finishing out Tony story.Save your money this is an incomplete book.",0
"Not good

Look for another brand I bought 3 for my family and all 3 cracked within a week.",0
"Missing parts.

Not happy with this purchase at all. This zapper did not include the needed AC adapter for charging and the manufacturer's contact information listed on Amazon was incorrect. I was told that they could not help because this was not a Honeywell product.",0
"Falling Apart - Made cheaply

It is falling apart and is made cheaply.",0
"Numb for too long

You will feel numbness until the end of next day.",0
"Breaks off of chain

It's very cute and looks just like the picture but it broke off of the chain after only a few months of use and I didn't jerk it. The fan doesn't have a wall switch and therefore requires the chain to function. It's probably fine if you don't pull the chain very often.",0
"Defect

Half of the letters were torn. Was not able to use.",0
"Never came.

Item never arrived. States delivered but never received it.",0
"NOPE

It arrived March 2, and now it’s May 6 and they no longer work - actually as of about a week ago they no longer work - if you don’t mind only getting a couple months Of wear - go ahead - otherwise , not worth it",0
"Hard to operate

The screen was hard to work. You have to push real hard to operate the keyboard.",0
"Not comfortable

They are not comfortable at all. I have many vionic shoes. Theses are not of the same quality",0
"These are terrible. Like

These are terrible. Like... really, really terrible. even if you luck out and get a pair that don't have defective sound, they're exceptionally cheap, ridiculously uncomfortable, and the Bluetooth literally somehow managed to disconnect my wifi every time I switched them on.",0
"Cheap RCA connectors.

RCA connectors failed after one use. Very cheap.",0
"After only having this product for 2 months my daughter ...

After only having this product for 2 months my daughter is not able to select items, as if it were frozen. We have turned it on and off and gave it a break but nothing. She has not dropped it and no water damage. I was excited for her to have an electronic that would contribute to her learning .",0
"Not what I ordered.

I ordered a Tech 21 clear case for my phone and received some sort of tempered glass piece.",0
"Never received item

Never received the item",0
"Big??? Cheaper more comfortable and their big NOT THESE

Large but tightly made, feels small in shower, too small, too tight to add soap and clean with...put the rest away.. never to be used again.",0
"Poor quality - defective product

The screen protector started to slide off the phone about 2 days in. Also, there were weird lines across the screen protector that affects regular phone usage. I tried to bring this issue up to the seller, but they didn't care. No response from them.",0
"Two Stars

Nothing special about these bottles, could have saved money elsewhere, but there are ok. Just a little pricey.",0
"Poor packaging

Product was broken. Poor packaging.",0
"Problems with refund

I returned the mirror & they refunded my cost, but I was recharged for it after they stated they did not receive it. I have no way to contact them to discuss my tracking number for the returned item.",0
"Not safe for food prep

Bought the brush to avoid getting bristles in my food and after 3rd use found the pictured bristle in my wife's steak, thankfully she was stabbed in the gum by it instead of swallowing it. Of course this is a week after the 30 day return window 😡",0
"Not Heavy Duty

This is not heavy duty, very thin material. I can’t believe they can advertise Heavy Duty, very misleading. I have owned several covers in the past and this is not Heavy Duty material.",0
"One Star

amazons heading said 4 pack I only received one pack",0
"Two Stars

you can really taste the artificial flavoring",0
"Slid Off All Night Long

Cute leggings but slid off my bottom all night long. I’m 5’2” 130lbs and ordered a small for NYE. These leggings made the evening a little uncomfortable. They seemed to fit well, except when dancing. I would have to tug on them afterwards to keep from exposing my bottom. Not sure if I can even wear them again.",0
"Ruler was heavily scratched

Ruler was heavily scratched. Looked to be a production reject or it was a returned item that was resold. For the price I expected a flawless product. I would not recommend.",0
"Item was written on.

Damaged... marked on. Writing can not come off",0
"NOT compatible with iPhoneX

Definitely NOT compatible with iPhoneX. Money wasted! Return process seems deliberately complicated to deter any returns. Seller does not reply to emails.",0
"Just didn't work for my animals

It just didn't work for my dogs and cat. They just. The product did exactly what it was supposed to. The return process was very easy as well. I wouldn't buy this product again but I would buy from this seller.",0
"Leaky toilet!

I had liked the while idea as an over the road truck driver that in case of emergencies I can use it. But first initial use of filling up the holding tank, it would leak where the flushing pump is. Complete pissed me off! So, I am trying to fix it myself. That putty that they use doesn't make a complete seal to keep water in. I removed the putty the best that I could and put clear silicone in place if it. Now I will find out if it does not leak.",0
"Only 90 capsules, not 120 as shown. Buyer beware!

Product works great. Problem is the write up and photos say 120 capsules, but what you get is only 90 capsules. Paid full price and only received 3/4 of the product. False advertising - buyer beware.",0
"One Star

This lasted all of 5 minutes.",0
"Its ok

It wasnt the right product but I still like it",0
"Waste of money

Definitely not what I thought I was getting. It does not cover as much as the pictures show (and I have a short torso), it rolls down, and didn't smooth or flatten anything. Instead it made me look round and pregnant. I ordered a 3X and you can tell they are made for smaller people, not truly for bigger girls that have a little more to smooth out. Very disappointed.",0
"Smells horrible

In and of itself these are great but they smell horrendous. I’ve washed them 3 times and they still have an awful chemical smell.",0
"Damaged in shipping to Amazon locker.

Amazon ships most items in boxes but this FOOD item is shipped in a bag. Inside the bag, the manufacturers box was completely crushed and looked like it might be a customer return.",0
"False advertising!!!

This product clearly says k-cups & the product is not that! It came as bags to brew a pitcher. I do not want these I want k-cups.",0
"Too hard to close and not lightweight

This umbrella is really hard to close because the spring is too tight. I have to push it against the wall to close it. It’s also heavier than my other two umbrellas that I’ve had for years... too bad...",0
"Inconsistent sizing

Length is perfect but the sizing is so inconsistent! I bought two pairs to try on, 26, and 27. But the 27 is tighter than 26! And it’s literally an inch smaller...",0
