text,label
"bored, nothing to do",0
 Nofair! My BK only had Uhura and Nero left.,0
The white supremacist using Trump? @user #NotMyPresident #Trump #Resist #MAGA @user @user #tcot #uniteblue ,0
_ no idea what that means bb,0
 hey! Sorry I didn`t see ur message to me,0
 I am definitely ready... actually ahead of you... I already have a sun tan and I was out at the beach yesterday.,0
ahh my poor feeeeeet,0
"Time for bed, oh how I wish someone was laying next to me",0
I sadly have no voice after the Food Faire and The Academic Pep Rally!! I need my voice.,0
 I`m inclined to think it`s stupid.,0
 boo! I must`ve deleted it from my phone!  can`t find it in my emails either!,0
" Aww, that`s sad.  I miss seeing you guys on the big screen.",0
Uh-oh...it`s becoming grey again out here. I hope it`s not one of those 'pop-up showers' on the way.,0
oh how I miss my truck... I could have my whole place moved by now...,0
dammit! hulu desktop has totally screwed up my ability to talk to a particular port on one of our dev servers. so i can`t watch and code,0
At my rehearsal...gonna miss the game  please keep me updated! Go Nuggets!,0
"i had my chance and blew it, now i have to suffer the consequences..gnite tweeps",0
"@user just driving past Groves. Scoreboard says 22-15, Seaholm... May not be accurate-I'm not at the game."" ",0
" was it for the vma`s? i guess so.. also wanna go to london in june for demi lovato concert, but no one`s going with me",0
@user @user marvi u better apologize to every Pakistani nd Muslims over ur non sense talk in 11th Hour or prepare 4 the Hell ,0
Almost got sharpied in the face while falling asleep  being sick sucks!!!,0
now the pic wont load up on twitter,0
 I hope you didn`t take that quote personally!! I`ve been throwing them out here and there all day-guess I shoulda waited a bit,0
It`s 10.30pm on a Friday night and I`m going to bed. How pathetic.,0
  Been there and never at a good time   Your recourse is small claims or you can get a atty involved. But that is more $,0
Just been asked to sing yet again....aha. coffee mornin this time. psychology past questions&revision suck!,0
 thats funny.. actually.. i could use a haircut...might be growing it out thru August for Woodstock Anniversary Party....40 yrs,0
 if you weren`t 'picky' (=precise) i might not find you as interesting to talk to,0
playing bejewled on facebook.. **** it i want a higherscore!,0
my feet are cold.....i hate when my feet get cold,0
Just started feeling bad again  ugh. I hate it when I don`t feel good!!,0
Straighening my hair and its not going as straight as i want it to be what a  bummerrr for me,0
Sad that Christian Lacroix had to file bankruptcy,0
"Two months ago, I became irrelevant.",0
http://twitpic.com/677bi - IVA!!!! i already miss yoo my sweet  ****,0
wonder what white supremists have to say about this  I abhor racists. http://bit.ly/Rd31F,0
hut myself in the face with a hammer earlier by accident  obviously it hurts.,0
" ... rather than outdated & bigoted at worst, and outdated, patronising, imperialist, monoculturalist & self-righteous at best.",0
Bug in **** cod4 system link. My map pack isnt working,0
sitting in the car with my cat. he keeps meowing and i feel so bad,0
Father is staying home and conference calling. Sorry ,0
Having to write a real looking paper letter. Not done one of those for a very long time. Sad really.,0
Worried about the reply after sending THE SMS to 78277.,0
my pooooor baby (my dog chachi)  she had surgery todayyyyy,0
My car has an alarm & immobiliser so it makes it incredibly complicated AND costly! I have no key code neither for the immobiliser.,0
"If it's not a ""Larry-sized problem,"" then why did he pour so much money and resources into Google+?  ",0
"@user u can imagine what may happen if they allow the enemies to enter Madinah. Plus, they broke the covenant they had with Muslims"" ",0
 What!?!?! I can`t believe I had to find out this way...don`t you ppl contact family first??!!? I`m so sad!  Who was it?!?1,0
Stupid MSN It wont let me onnnn,0
Ugh. My feet feel like they`re going to fall off.,0
"Baq to sleep i go  no the headach starts , if its not 1 its da other",0
" Yeah, it`s work. It`s been busy all day and I`m tired and hungry.",0
 boo... i was hoping for a fake alien story with a tinfoil covered beachball photo,0
 i dont have a bank. i cash my **** at tom thumb. i`ve had four bank accounts--and they`ve all gone negative,0
Just got to the hospital. Jimmys really bad....please please send your good thoughts. I`m really worried.,0
And other girls come over... And my boyfriend forgets that I`m here,0
will miss jay leno ..,0
ughhh rejected from the 09 mediation program. SUCKSSSS.,0
Anyway. Can`t take this **** no longer. Or my mind will blow off.,0
Can`t even tell you how much this hair dresser is pissssssing me off she has no clue wtf I`m asking her to do..so I`m expecting the worst,0
Here at work still feeling the pain for my friend wish I had a magic wand to erase all the madness,0
 I broke my ipod,0
"@user did you explain to him how Qatar, your backers, &amp; Saudi Arabia were responsible for its destruction? ",0
"@user so speaks the ""soulless zombie"" who fails to grasp the SCOTUS decision was based on the 14th amendment #tcot  #constitution ",0
http://twitpic.com/67l90 -  girrrrrrrrlll i`m going to miss you so bad!!!!,0
Oh no... that bird is back,0
 was there going to be a recording of with the needle that stings in her heart on youtube or something? i missed the stream,0
just got home. im so effin sad,0
so I`m kinda pissed that Boys Like Girls is gonna be at Kentucky Kingdom on a date i already have a show,0
